aim9d,aim7e2,images/aim9d.jpeg,images/aim7e2.jpeg,1,F-4E Phantom,
aim9d,aim7e2,images/aim7e2.jpeg,images/aim9d.jpeg,1,F-4E Phantom,
aim9d,aim54,aim7f,images/aim9d.jpeg,images/aim54.jpeg,images/aim7f.jpeg,0,F-14B TomCat,4
aim9d,aim54,aim7f,images/aim7f.jpeg,images/aim54.jpeg,images/aim9d.jpeg,0,F-14B TomCat,4
r27t,r60m,images/r27t.jpeg,images/r60m.jpeg,2,MIG-23ML Flogger,4
r27t,r60m,images/r60m.jpeg,images/r27t.jpeg,2,MIG-23ML Flogger,4
r27t,r60m,images/r27t.jpeg,images/r60m.jpeg,2,MIG-23ML Flogger,4
aim9d,aim7e2,images/aim9d.jpeg,images/aim7e2.jpeg,1,F-4E Phantom,4
r60,r73,r27t,images/r60.jpeg,images/r73.jpeg,images/r27t.jpeg,3,SU-27 Flanker,4
r60,r73,r27er,images/r27t.jpeg,images/r73.jpeg,images/r27er.jpeg,3,SU-27 Flanker,4
r60,r73,r27t,images/r60.jpeg,images/r73.jpeg,images/r27t.jpeg,3,SU-27 Flanker,4
aim9m,aim54,aim7f,images/aim9m.jpeg,images/aim54.jpeg,images/aim7f.jpeg,0,F-14B TomCat,4
r27t,r60,images/r27t.jpeg,images/r60.jpeg,2,MIG-23ML Flogger,4
r60,r73,r27t,images/r60.jpeg,images/r73.jpeg,images/r27t.jpeg,3,SU-27 Flanker,4
aim9d,aim7e2,images/aim9d.jpeg,images/aim7e2.jpeg,1,F-4E Phantom,4
r60m,r27t,r27er,images/r60m.jpeg,images/r27t.jpeg,images/r27er.jpeg,3,SU-27 Flanker,4
aim9d,aim9d,aim54,images/aim9d.jpeg,images/aim9d.jpeg,images/aim54.jpeg,0,F-14B TomCat,4
aim9d,aim9d,aim7f,images/aim9d.jpeg,images/aim9d.jpeg,images/aim7f.jpeg,0,F-14B TomCat,4
aim9d,aim9d,aim7f,images/aim9d.jpeg,images/aim9d.jpeg,images/aim7f.jpeg,0,F-14B TomCat,4
r73,r27t,r27er,images/r73.jpeg,images/r27t.jpeg,images/r27er.jpeg,3,SU-27 Flanker,4
